team,no,name,birth,height,weight,throw,bat,position,note
読売ジャイアンツ,11,田中　将大,1988.11.01,188,102,右,右,投手,
読売ジャイアンツ,15,大勢,1999.06.29,183,90,右,右,投手,
読売ジャイアンツ,17,西舘　勇陽,2002.03.11,185,88,右,右,投手,
読売ジャイアンツ,19,山﨑　伊織,1998.10.10,181,81,右,左,投手,
読売ジャイアンツ,20,戸郷　翔征,2000.04.04,187,85,右,右,投手,
読売ジャイアンツ,21,竹丸　和幸,2002.02.26,179,76,左,左,投手,
読売ジャイアンツ,25,代木　大和,2003.09.08,184,100,左,左,投手,3/31 ハヤテへ派遣（3/31～6/24）、7/20 育成選手から支配下選手へ移行
読売ジャイアンツ,26,ウィットリー,1997.09.15,201,94,右,右,投手,
読売ジャイアンツ,28,ハワード,1996.07.28,190,95,右,右,投手,
読売ジャイアンツ,30,田和　廉,2003.05.02,183,87,右,右,投手,
読売ジャイアンツ,31,赤星　優志,1999.07.02,175,82,右,右,投手,
読売ジャイアンツ,36,山城　京平,2003.09.20,174,70,左,左,投手,
読売ジャイアンツ,41,中川　皓太,1994.02.24,183,86,左,左,投手,
読売ジャイアンツ,42,マタ,1999.05.03,190,101,右,右,投手,
読売ジャイアンツ,43,則本　昂大,1990.12.17,178,89,右,左,投手,
読売ジャイアンツ,45,田中　瑛斗,1999.07.13,184,84,右,左,投手,
読売ジャイアンツ,46,又木　鉄平,1999.02.12,182,95,左,左,投手,
読売ジャイアンツ,47,森田　駿哉,1997.02.11,185,88,左,左,投手,
読売ジャイアンツ,48,ルシアーノ,2000.02.15,190,95,右,右,投手,3/24 育成選手から支配下選手へ移行
読売ジャイアンツ,49,バルドナード,1993.02.01,196,122,左,左,投手,
読売ジャイアンツ,53,高梨　雄平,1992.07.13,175,86,左,左,投手,
読売ジャイアンツ,54,松浦　慶斗,2003.07.01,187,100,左,左,投手,
読売ジャイアンツ,56,北浦　竜次,2000.01.12,184,103,左,左,投手,
読売ジャイアンツ,57,宮原　駿介,2002.09.12,174,85,左,左,投手,
読売ジャイアンツ,58,船迫　大雅,1996.10.16,174,80,右,左,投手,
読売ジャイアンツ,62,横川　凱,2000.08.30,190,98,左,左,投手,
読売ジャイアンツ,63,泉　圭輔,1997.03.02,188,87,右,右,投手,
読売ジャイアンツ,64,山田　龍聖,2000.09.07,184,92,左,左,投手,
読売ジャイアンツ,65,石川　達也,1998.04.15,178,83,左,右,投手,
読売ジャイアンツ,66,平内　龍太,1998.08.01,185,95,右,右,投手,
読売ジャイアンツ,91,堀田　賢慎,2001.05.21,186,90,右,右,投手,
読売ジャイアンツ,92,マルティネス,1996.10.11,193,93,右,左,投手,
読売ジャイアンツ,97,井上　温大,2001.05.13,176,86,左,左,投手,
読売ジャイアンツ,98,小笠原　慎之介,1997.10.08,180,93,左,左,投手,6/18 支配下選手登録
読売ジャイアンツ,10,甲斐　拓也,1992.11.05,170,87,右,右,捕手,
読売ジャイアンツ,22,小林　誠司,1989.06.07,178,86,右,右,捕手,
読売ジャイアンツ,24,大城　卓三,1993.02.11,187,97,右,左,捕手,
読売ジャイアンツ,27,岸田　行倫,1996.10.10,176,90,右,右,捕手,
読売ジャイアンツ,37,郡　拓也,1998.04.25,179,88,右,右,捕手,
読売ジャイアンツ,67,山瀬　慎之助,2001.05.04,177,89,右,右,捕手,
読売ジャイアンツ,00,湯浅　大,2000.01.24,172,73,右,右,内野手,
読売ジャイアンツ,0,増田　大輝,1993.07.29,172,71,右,右,内野手,
読売ジャイアンツ,2,吉川　尚輝,1995.02.08,177,82,右,左,内野手,
読売ジャイアンツ,5,門脇　誠,2001.01.24,172,75,右,左,内野手,
読売ジャイアンツ,6,坂本　勇人,1988.12.14,186,86,右,右,内野手,
読売ジャイアンツ,23,石塚　裕惺,2006.04.06,182,94,右,右,内野手,
読売ジャイアンツ,29,ダルベック,1995.06.29,191,102,右,右,内野手,
読売ジャイアンツ,32,浦田　俊輔,2002.08.30,171,67,右,左,内野手,
読売ジャイアンツ,33,小濱　佑斗,2001.10.05,180,86,右,右,内野手,
読売ジャイアンツ,35,泉口　友汰,1999.05.17,178,84,右,左,内野手,
読売ジャイアンツ,52,リチャード,1999.06.18,189,120,右,右,内野手,
読売ジャイアンツ,60,荒巻　悠,2002.12.23,184,100,右,左,内野手,
読売ジャイアンツ,61,増田　陸,2000.06.17,179,92,右,右,内野手,
読売ジャイアンツ,68,宇都宮　葵星,2004.06.23,175,70,右,左,内野手,3/24 育成選手から支配下選手へ移行
読売ジャイアンツ,69,平山　功太,2004.03.16,185,82,右,右,内野手,4/6 育成選手から支配下選手へ移行
読売ジャイアンツ,99,藤井　健翔,2007.08.15,181,96,右,右,内野手,
読売ジャイアンツ,8,丸　佳浩,1989.04.11,177,94,右,左,外野手,
読売ジャイアンツ,9,松本　剛,1993.08.11,180,83,右,右,外野手,
読売ジャイアンツ,12,萩尾　匡也,2000.12.28,180,85,右,右,外野手,
読売ジャイアンツ,13,キャベッジ,1997.05.03,188,92,右,左,外野手,
読売ジャイアンツ,38,岡田　悠希,2000.01.19,184,86,右,左,外野手,
読売ジャイアンツ,39,皆川　岳飛,2003.04.30,182,88,右,左,外野手,
読売ジャイアンツ,40,中山　礼都,2002.04.12,182,90,右,左,外野手,
読売ジャイアンツ,44,佐々木　俊輔,1999.11.06,174,80,右,左,外野手,
読売ジャイアンツ,50,ティマ,2004.09.25,194,106,右,右,外野手,5/25 育成選手から支配下選手へ移行
読売ジャイアンツ,51,浅野　翔吾,2004.11.24,172,89,右,右,外野手,
読売ジャイアンツ,59,鈴木　大和,1999.04.27,173,73,右,右,外野手,7/31 育成選手から支配下選手へ移行
読売ジャイアンツ,94,知念　大成,2000.04.27,181,85,左,左,外野手,7/6 育成選手から支配下選手へ移行
