team,no,name,birth,height,weight,throw,bat,position,note
東京ヤクルトスワローズ,11,キハダ,1995.11.09,180,97,左,左,投手,支配下選手登録(1/30)
東京ヤクルトスワローズ,12,石山　泰稚,1988.09.01,182,83,右,右,投手,
東京ヤクルトスワローズ,14,西舘　昂汰,2001.06.09,189,94,右,右,投手,育成選手から支配下選手へ移行(7/22)
東京ヤクルトスワローズ,15,中村　優斗,2003.02.08,176,86,右,左,投手,
東京ヤクルトスワローズ,17,清水　昇,1996.10.15,180,95,右,左,投手,
東京ヤクルトスワローズ,18,奥川　恭伸,2001.04.16,184,82,右,右,投手,
東京ヤクルトスワローズ,19,石川　雅規,1980.01.22,167,73,左,左,投手,
東京ヤクルトスワローズ,20,木澤　尚文,1998.04.25,183,90,右,右,投手,
東京ヤクルトスワローズ,21,吉村　貢司郎,1998.01.19,183,85,右,右,投手,
東京ヤクルトスワローズ,24,星　知弥,1994.04.15,183,91,右,右,投手,
東京ヤクルトスワローズ,26,山野　太一,1999.03.24,173,81,左,左,投手,
東京ヤクルトスワローズ,28,松本　健吾,1999.04.14,180,83,右,右,投手,
東京ヤクルトスワローズ,29,小川　泰弘,1990.05.16,172,82,右,右,投手,
東京ヤクルトスワローズ,30,荘司　宏太,2000.05.22,172,90,左,左,投手,
東京ヤクルトスワローズ,33,山崎　太陽,2003.07.06,193,87,右,右,投手,
東京ヤクルトスワローズ,34,田口　麗斗,1995.09.14,171,79,左,左,投手,
東京ヤクルトスワローズ,35,石原　勇輝,2001.08.30,180,87,左,左,投手,
東京ヤクルトスワローズ,40,高梨　裕稔,1991.06.05,188,94,右,右,投手,
東京ヤクルトスワローズ,41,拓也,1994.12.31,176,99,右,右,投手,
東京ヤクルトスワローズ,43,増居　翔太,2000.05.25,173,74,左,左,投手,
東京ヤクルトスワローズ,44,大西　広樹,1997.11.08,175,92,右,右,投手,
東京ヤクルトスワローズ,45,小澤　怜史,1998.03.09,182,87,右,左,投手,
東京ヤクルトスワローズ,46,大道　温貴,1999.01.20,180,91,右,右,投手,
東京ヤクルトスワローズ,47,高橋　奎二,1997.05.14,180,83,左,左,投手,
東京ヤクルトスワローズ,49,鈴木　蓮吾,2007.08.18,177,70,左,左,投手,
東京ヤクルトスワローズ,53,長谷川　宙輝,1998.08.23,176,86,左,左,投手,
東京ヤクルトスワローズ,56,坂本　拓己,2004.07.06,180,85,左,左,投手,
東京ヤクルトスワローズ,58,ウォルターズ,1997.05.18,195,102,右,右,投手,
東京ヤクルトスワローズ,61,飯田　琉斗,1999.06.24,187,100,右,右,投手,
東京ヤクルトスワローズ,62,リランソ,1995.03.07,188,112,右,右,投手,
東京ヤクルトスワローズ,66,阪口　皓亮,1999.08.15,188,90,右,左,投手,
東京ヤクルトスワローズ,68,丸山　翔大,1998.08.22,194,90,右,左,投手,
東京ヤクルトスワローズ,69,下川　隼佑,2000.03.22,176,88,右,右,投手,
東京ヤクルトスワローズ,70,廣澤　優,2001.04.27,193,102,右,右,投手,育成選手から支配下選手へ移行(3/24)
東京ヤクルトスワローズ,71,沼田　翔平,2000.06.24,175,80,右,右,投手,
東京ヤクルトスワローズ,99,青柳　晃洋,1993.12.11,183,83,右,右,投手,
東京ヤクルトスワローズ,2,古賀　優大,1998.08.07,177,83,右,右,捕手,
東京ヤクルトスワローズ,27,中村　悠平,1990.06.17,176,79,右,右,捕手,
東京ヤクルトスワローズ,32,松本　直樹,1993.10.17,177,82,右,右,捕手,
東京ヤクルトスワローズ,48,柿沼　友哉,1993.05.12,180,86,右,右,捕手,
東京ヤクルトスワローズ,52,橋本　星哉,2000.09.18,178,85,右,左,捕手,
東京ヤクルトスワローズ,57,矢野　泰二郎,2002.05.22,178,82,右,右,捕手,
東京ヤクルトスワローズ,65,鈴木　叶,2006.03.21,181,81,右,右,捕手,
東京ヤクルトスワローズ,00,赤羽　由紘,2000.06.29,176,83,右,右,内野手,
東京ヤクルトスワローズ,1,山田　哲人,1992.07.16,181,81,右,右,内野手,
東京ヤクルトスワローズ,3,内山　壮真,2002.06.30,172,76,右,右,内野手,
東京ヤクルトスワローズ,6,松下　歩叶,2003.04.14,181,87,右,右,内野手,
東京ヤクルトスワローズ,7,長岡　秀樹,2001.09.26,175,82,右,左,内野手,
東京ヤクルトスワローズ,8,茂木　栄五郎,1994.02.14,173,78,右,左,内野手,
東京ヤクルトスワローズ,10,宮本　丈,1995.04.03,181,82,右,左,内野手,
東京ヤクルトスワローズ,13,オスナ,1992.12.12,188,106,右,右,内野手,
東京ヤクルトスワローズ,37,山野辺　翔,1994.05.24,170,74,右,右,内野手,
東京ヤクルトスワローズ,38,石井　巧,2002.03.02,180,81,右,右,内野手,
東京ヤクルトスワローズ,39,松川　玲央,2004.03.26,183,81,右,左,内野手,
東京ヤクルトスワローズ,50,北村　恵吾,2000.12.18,182,90,右,右,内野手,
東京ヤクルトスワローズ,54,田中　陽翔,2006.06.25,183,88,右,左,内野手,
東京ヤクルトスワローズ,60,武岡　龍世,2001.05.28,179,85,右,左,内野手,
東京ヤクルトスワローズ,67,伊藤　琉偉,2002.09.11,180,78,右,右,内野手,
東京ヤクルトスワローズ,98,セデーニョ,1998.08.22,194,118,右,右,内野手,支配下選手登録(6/17)
東京ヤクルトスワローズ,0,並木　秀尊,1999.03.23,170,72,右,右,外野手,
東京ヤクルトスワローズ,4,丸山　和郁,1999.07.18,174,80,左,左,外野手,
東京ヤクルトスワローズ,9,塩見　泰隆,1993.06.12,180,81,右,右,外野手,
東京ヤクルトスワローズ,25,サンタナ,1992.08.05,195,104,右,右,外野手,
東京ヤクルトスワローズ,31,モイセエフ　ニキータ,2006.11.29,182,87,左,左,外野手,
東京ヤクルトスワローズ,36,西村　瑠伊斗,2004.07.01,178,80,右,左,外野手,
