team,no,name,birth,height,weight,throw,bat,position,note
千葉ロッテマリーンズ,11,カスティーヨ,1996.01.10,198,114,左,左,投手,1/30 支配下選手登録
千葉ロッテマリーンズ,13,毛利　海大,2003.09.14,177,77,左,左,投手,
千葉ロッテマリーンズ,14,小島　和哉,1996.07.07,178,85,左,左,投手,
千葉ロッテマリーンズ,15,横山　陸人,2001.08.05,180,90,右,右,投手,
千葉ロッテマリーンズ,16,種市　篤暉,1998.09.07,183,88,右,右,投手,
千葉ロッテマリーンズ,18,石垣　元気,2007.08.16,180,78,右,左右,投手,
千葉ロッテマリーンズ,19,唐川　侑己,1989.07.05,181,90,右,右,投手,
千葉ロッテマリーンズ,21,石川　柊太,1991.12.27,185,88,右,右,投手,
千葉ロッテマリーンズ,24,東妻　勇輔,1996.04.04,172,80,右,右,投手,
千葉ロッテマリーンズ,28,菊地　吏玖,2000.06.13,183,93,右,左,投手,
千葉ロッテマリーンズ,29,西野　勇士,1991.03.06,183,90,右,右,投手,
千葉ロッテマリーンズ,30,廣畑　敦也,1997.12.03,175,83,右,右,投手,
千葉ロッテマリーンズ,31,大谷　輝龍,2000.07.11,180,81,右,右,投手,
千葉ロッテマリーンズ,33,八木　彬,1997.05.26,180,94,右,右,投手,
千葉ロッテマリーンズ,34,高野　脩汰,1998.08.13,184,88,左,左,投手,
千葉ロッテマリーンズ,35,田中　晴也,2004.06.06,186,92,右,左,投手,
千葉ロッテマリーンズ,36,坂本　光士郎,1994.09.09,179,80,左,左,投手,
千葉ロッテマリーンズ,37,小野　郁,1996.10.23,175,78,右,右,投手,
千葉ロッテマリーンズ,40,奥村　頼人,2007.09.08,179,83,左,左,投手,
千葉ロッテマリーンズ,41,一條　力真,2003.02.10,190,90,右,左,投手,
千葉ロッテマリーンズ,42,ジャクソン,1996.05.01,190,95,右,右,投手,2/9 支配下選手登録
千葉ロッテマリーンズ,46,冨士　隼斗,2002.03.10,180,86,右,右,投手,
千葉ロッテマリーンズ,47,鈴木　昭汰,1998.09.07,175,80,左,左,投手,
千葉ロッテマリーンズ,48,ルケーシー,1993.06.06,198,103,左,左,投手,7/23 支配下選手登録
千葉ロッテマリーンズ,52,益田　直也,1989.10.25,179,80,右,右,投手,
千葉ロッテマリーンズ,53,木村　優人,2005.06.01,184,92,右,左,投手,
千葉ロッテマリーンズ,54,澤田　圭佑,1994.04.27,178,96,右,左,投手,
千葉ロッテマリーンズ,56,中森　俊介,2002.05.29,183,90,右,左,投手,
千葉ロッテマリーンズ,58,河村　説人,1997.06.18,192,87,右,右,投手,
千葉ロッテマリーンズ,59,早坂　響,2005.07.26,176,70,右,右,投手,
千葉ロッテマリーンズ,60,大聖,2002.01.29,178,98,右,左,投手,
千葉ロッテマリーンズ,62,坂井　遼,2006.05.08,178,78,右,右,投手,
千葉ロッテマリーンズ,64,廣池　康志郎,2002.09.16,185,85,右,左,投手,
千葉ロッテマリーンズ,66,宮﨑　颯,2000.06.14,180,93,左,左,投手,
千葉ロッテマリーンズ,73,ロング,1995.07.08,185,83,左,左,投手,1/30 支配下選手登録
千葉ロッテマリーンズ,91,吉川　悠斗,2005.03.14,185,92,左,左,投手,
